_id,FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,DEP_AMORT_EXP_OPS,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,DISP_TRNFR,CASH,MARKETABLE_SEC,OTH_CURR_ASSETS,TOT_CURR_ASSETS,LIMITED_USE_CASH,LIMITED_USE_INV,LIMITED_USE_OTHER_ASSETS,TOT_LIMITED_USE_ASSETS,TOT_PPE,ACCU_DEP_AMORT,NET_TOT_PPE,CONST_IN_PROGRESS,TOT_INV_AND_OTH_ASSETS,TOT_INTANGIBLE_ASSETS,TOT_ASSETS,CAP_EXP,CURR_LIABILITIES,CURR_MAT_LT_DEBT,TOT_CURR_LIABILITIES,TOT_DEF_CREDITS,TOT_LT_DEBT,CURR_MATURITIES,NET_TOT_LT_DEBT,TOT_LIABILITIES,TOT_EQUITY,TOT_LIABILITY_AND EQUITY
1,106580996,ADVENTIST HEALTH AND RIDEOUT,20241,01/01/2024,03/31/2024,Open,Yuba,02 - Golden Empire,227,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,221,221,157,1042,298,312,635,0,0,0,501,2,99,2889,0,5818,1730,790,3687,0,0,0,1973,2,223,14223,0,14959,3246,1734,14831,0,0,1265,9590,18,2087,47730,130202567,36798410,12262068,79916695,0,0,0,57684930,44422,4879432,321788524,74868236,19928319,4517607,74206806,0,0,2150001,43918068,192001,6749282,226530320,4873912,167059248,45292295,21589593,120674554,0,0,0,549282,48391238,0,1010149,0,0,0,5786810,415227081,0,0,0,0,0,36878083,10928093,-4763154,33661491,0,0,1434418,49531636,0,5421196,133091763,1863304,135540079,3610129,0,357310,0,0,0,0,0,822667,0,149239537,150062204,0,0,0,0,573241966,284472220,288769746,4755279,3703790,3420921,450711940,1077396,227514130,10185000,237699130,716948,236394685,10185000,226209685,464625763,-13913823,450711940
2,106150788,ADVENTIST HEALTH BAKERSFIELD,20241,01/01/2024,03/31/2024,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,188,756,1017,137,903,0,0,264,921,0,28,4026,0,3497,4358,682,3598,0,0,1481,3089,0,79,16784,0,14766,6771,878,15049,0,0,3745,22228,1,1834,65272,89519778,122893105,14338619,91661776,0,0,32738406,81671103,0,6220456,439043243,66532540,76772533,5035926,84459429,0,0,31902271,113360926,3272,6595037,384661934,3404513,131849104,169695511,18827931,142533536,0,0,0,51054269,144590798,0,629124,0,0,0,9689438,672274224,0,0,0,0,0,24056499,28867090,436493,32560025,0,0,12831075,45679834,0,6999937,151430953,2755855,148572767,1618549,0,1929799,0,0,0,0,0,54301342,0,188558658,242860000,0,0,7881505,7881505,348421447,219767307,128654140,3985304,23837580,287182,407505711,5189592,58833597,7842761,66676358,0,163931918,7842761,156089157,222765515,184740196,407505711
3,106171049,ADVENTIST HEALTH CLEARLAKE,20241,01/01/2024,03/31/2024,Open,Lake,01 - Northern California,115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVENUE,CLEARLAKE,95422,DAVID SANTOS,25,25,17,139,40,6,140,0,0,32,25,0,4,386,0,621,173,18,500,0,0,145,42,0,25,1524,0,30894,7585,8252,33618,0,0,3127,15719,5,1669,100869,11650296,3265706,177080,9470744,0,0,2635829,1257485,0,707638,29164778,33214530,10540592,4304632,36972044,0,0,4777867,16484057,15263,2606890,108915875,-2530501,26960054,9002577,5381040,36645267,-79349,0,0,3912393,10632438,0,417854,0,0,0,1955427,92297200,0,1554251,0,0,1554251,17629847,4707537,-931352,14079547,0,0,3498563,6773059,101,1580402,47337704,374238,46544024,845655,0,902108,0,0,0,0,0,41117915,0,31168764,72286679,0,0,0,0,98500786,58061406,40439380,8517974,0,110377,121354410,1139637,2618730,7967000,10585730,1625247,75494096,7967000,67527096,79738073,41616337,121354410
4,106150706,ADVENTIST HEALTH DELANO,20241,01/01/2024,03/31/2024,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-725-4800,1401 GARCES HIGHWAY,DELANO,93215,DAVID BUTLER,156,156,67,133,51,83,284,0,0,26,29,0,4,610,13,1376,243,1248,2646,0,0,128,58,0,10,5709,4210,2183,725,1030,11606,0,0,906,2677,0,477,19604,8420185,1836441,3068041,17652893,0,0,881032,573324,0,326004,32757920,3164555,2008875,1530574,16576866,0,0,2556342,3391613,0,1212788,30441613,763510,8922236,2359828,1287166,22390843,-625701,0,0,1783687,2229137,0,309560,0,0,0,405180,39825446,0,61,0,0,61,2553577,1454259,3308684,12245410,0,0,1561645,1247833,0,1002740,23374148,1050787,27911299,1121246,0,2533758,0,0,0,0,0,106414645,0,45981034,152395679,0,0,0,0,140329700,97684731,42644969,261669,0,800,195303117,462632,14983890,3030000,18013890,0,42514744,3030000,39484744,57498634,137804483,195303117
5,106190323,ADVENTIST HEALTH GLENDALE,20241,01/01/2024,03/31/2024,Open,Los Angeles,11 - Los Angeles,909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,305,1928,620,366,821,0,0,49,851,0,38,4673,0,11686,3496,4297,3506,0,0,211,4017,0,150,27363,0,15962,3431,1075,7638,0,0,1620,17449,45,486,47706,302008218,96686656,40846410,118539906,0,0,21802888,79426127,0,9433833,668744038,104638733,36044788,4453662,100220238,0,0,3089489,76271899,51295,8331736,333101840,4478558,353118275,116383687,42698264,186041745,0,0,0,19664271,118135790,0,1327850,0,0,0,10239497,852087937,0,0,0,0,0,53528047,16165095,186197,32712652,0,0,3480993,34740204,0,8944753,149757941,8646886,164344247,3562200,0,512134,0,0,0,0,0,0,592010,143554463,144146473,0,0,22866437,22866437,513139465,365947910,147191555,10574128,339560,5643497,330761650,3256739,168179020,10528000,178707020,0,233778993,10528000,223250993,401958013,-71196363,330761650
6,106164029,ADVENTIST HEALTH HANFORD,20241,01/01/2024,03/31/2024,Open,Kings,09 - Central,615,Church,Comparable,Rural,559-537-0056,115 MALL DRIVE,HANFORD,93230,TIM HAYDOCK,235,235,113,513,321,146,824,0,0,156,386,2,106,2454,0,2730,1573,647,3130,0,0,509,1314,13,367,10283,0,9320,4068,2686,27343,0,0,3732,14312,8,2038,63507,39953665,24800989,6071981,45405111,0,0,7158934,19112317,131949,3608072,146243018,41475961,28514207,8163119,133411913,0,0,16632833,59591751,11298,12027074,299828156,3081606,65455566,45849136,10862017,145019339,-1328987,0,0,17670465,48160987,0,1602300,0,0,0,12462255,348834684,0,8483976,0,0,8483976,15242427,7089133,3231985,42487372,0,0,5611838,28701835,0,3355876,105720466,1098948,103971847,3890858,0,10687614,0,0,0,0,0,437662973,0,172113363,609776336,0,0,0,0,421150956,247633662,173517294,176862,19545737,1380000,804396229,1567015,55739802,22117500,77857302,5376641,251485114,22117500,229367614,312601557,491794672,804396229
7,106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20241,01/01/2024,03/31/2024,Open,Mendocino,01 - Northern California,112,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,15,145,30,51,53,0,0,8,29,0,8,324,0,583,117,224,211,0,0,43,90,0,49,1317,0,6789,1459,289,5159,0,0,1813,2710,8,190,18417,14920357,2710575,1421097,4835558,0,0,577799,2445442,0,703115,27613943,23608676,4455052,623804,16407358,0,0,2642187,12106377,42331,1161365,61047150,849059,28411350,5352949,1981864,17422467,0,0,0,1589521,9089069,0,644338,0,0,0,1027004,66367621,0,507113,0,0,507113,9289931,1671861,-104244,4104398,0,0,1898819,5013945,121,925754,22800585,817004,23961964,891542,0,1276703,0,0,0,0,0,58549735,0,27606212,86155947,0,0,0,0,95691072,48637345,47053727,85570,0,0,133295244,148133,17405039,1670000,19075039,331854,34354993,1670000,32684993,52091886,81203358,133295244
8,106390923,ADVENTIST HEALTH LODI MEMORIAL,20241,01/01/2024,03/31/2024,Open,San Joaquin,06 - North San Joaquin,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240-5179,DANIEL WOLCOTT,194,194,104,597,384,109,500,0,0,55,329,3,11,1988,0,2872,2222,553,2116,0,0,229,1156,8,130,9286,0,8681,4414,1886,21000,0,0,1159,10709,4,2925,50778,91826805,70674893,14241089,62944672,0,0,7574460,34921238,210667,3636936,286030760,71250840,41984755,6970479,96319109,0,0,8508691,63430919,77470,12735440,301277703,2568225,145368201,102769039,19620345,143797972,0,0,0,11885480,72217276,0,1369459,0,0,0,14168363,513764360,0,70513,0,0,70513,16883438,8607192,1472563,15034332,0,0,3963668,24375407,-19398,3297414,73614616,4185326,79411923,2161523,0,237799,0,0,0,0,0,1625644,0,81500772,83126416,0,0,0,0,281017685,179539470,101478215,8505329,125957,0,193235917,1184503,42860963,9035000,51895963,0,136470140,9035000,127435140,179331103,13904814,193235917
9,106231013,ADVENTIST HEALTH MENDOCINO COAST,20241,01/01/2024,03/31/2024,Open,Mendocino,01 - Northern California,111,Non Profit Corp.,Comparable,Rural,707-961-1234,700 RIVER DRIVE,FORT BRAGG,95437,WAYNE ALLEN,25,25,15,118,32,1,39,0,0,15,7,2,1,215,0,682,184,4,222,0,0,89,39,3,6,1229,0,11711,1953,214,2501,0,0,2209,4712,43,188,23531,5612570,1516581,32029,1830109,0,0,731065,325020,28012,40793,10116179,18384384,4146590,738190,6841383,0,0,1076767,5952297,124352,260710,37524673,3903250,11092850,2385212,505957,5634958,0,0,0,354240,4042084,0,873429,0,0,0,1876596,30668576,0,128612,0,0,128612,9496779,1236975,237966,4002122,0,0,1189050,890867,4203,42926,17100888,325308,23322658,206000,0,318317,0,0,0,0,0,46845,0,38167956,38214801,0,0,0,0,10904727,1629836,9274891,40883,0,0,47530575,114136,10033922,0,10033922,6373932,52059324,0,52059324,68467178,-20936603,47530575
10,106100797,ADVENTIST HEALTH REEDLEY,20241,01/01/2024,03/31/2024,Open,Fresno,09 - Central,607,Non Profit Corp.,Comparable,Rural,559-537-0056,372 WEST CYPRESS AVENUE,REEDLEY,93654,TIM HAYDOCK,49,49,17,38,21,51,266,0,0,6,52,0,10,444,0,186,147,179,735,0,0,37,131,0,56,1471,0,15044,7916,12200,85656,0,0,825,23361,2060,1711,148773,1591833,1052453,1067923,7811662,0,0,130917,1567561,0,358166,13580515,10447196,6625777,5179038,63059692,0,0,848404,15260054,547778,3523560,105491499,-9346,5090533,4738904,2201660,39729205,-509000,0,0,398245,9314182,0,1085370,0,0,0,3279371,65319124,0,755806,0,0,755806,6984745,2649523,4052204,32333754,0,0,711313,7089305,2737,685115,54508696,154336,51371800,849656,0,3611661,0,0,0,0,0,159973315,0,50968789,210942104,0,0,0,0,97405675,35013437,62392238,14884540,0,9711063,297929945,1913808,22143257,10654000,32797257,2984301,79261873,10654000,68607873,104389431,193540514,297929945
