FAC_NAME,COUNTY_NAME,BEG_DATE_q1,END_DATE_q1,OP_STATUS_q1,TYPE_HOSP_q1,TEACH_RURL_q1,AVL_BEDS_q1,STF_BEDS_q1,VIS_TOT_q1,GRIP_TOT_q1,DAY_TOT_q1,GROP_TOT_q1,DED_TOT_q1,CAP_TOT_q1,NET_TOT_q1,TOT_OP_EXP_q1,EXP_PIPS_q1,EXP_POPS_q1,PHY_COMP_q1,LOG_VIS_TOT_q1,LOG_GRIP_TOT_q1,LOG_DAY_TOT_q1,LOG_GROP_TOT_q1,LOG_DED_TOT_q1,LOG_CAP_TOT_q1,LOG_DED_TOT_q1,LOG_CAP_TOT_q1,LOG_NET_TOT_q1,LOG_TOT_OP_EXP_q1,LOG_EXP_PIPS_q1,LOG_EXP_POPS_q1,LOG_PHY_COMP_q1,BEG_DATE_q2,END_DATE_q2,OP_STATUS_q2,TYPE_HOSP_q2,TEACH_RURL_q2,AVL_BEDS_q2,STF_BEDS_q2,VIS_TOT_q2,GRIP_TOT_q2,DAY_TOT_q2,GROP_TOT_q2,DED_TOT_q2,CAP_TOT_q2,NET_TOT_q2,TOT_OP_EXP_q2,EXP_PIPS_q2,EXP_POPS_q2,PHY_COMP_q2,LOG_VIS_TOT_q2,LOG_GRIP_TOT_q2,LOG_DAY_TOT_q2,LOG_GROP_TOT_q2,LOG_DED_TOT_q2,LOG_CAP_TOT_q2,LOG_DED_TOT_q2,LOG_CAP_TOT_q2,LOG_NET_TOT_q2,LOG_TOT_OP_EXP_q2,LOG_EXP_PIPS_q2,LOG_EXP_POPS_q2,LOG_PHY_COMP_q2
ADVENTIST HEALTH AND RIDEOUT,Yuba,2024-01-01,2024-03-31,Open,Comparable,N/A,221,157,47730.0,321788524.0,14223.0,226530320.0,415227081.0,0.0,133091763.0,135540079.0,0.0,0.0,0.0,10.773336360964212,19.589405133092484,9.562685957753686,19.23838936147757,19.85367246657135,15.46989946485397,19.85367246657135,15.46989946485397,18.706549403163798,18.724777947903732,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,221,147,48832.0,292107536.0,13320.0,242107762.0,418473905.0,0.0,115741393.0,132982900.0,0.0,0.0,0.0,10.796161592809286,19.49263256983234,9.497097016351463,19.304893486656496,19.954878302099264,14.470255730140709,19.954878302099264,14.470255730140709,18.566868898274517,18.705731114011204,0.0,0.0,0.0
ADVENTIST HEALTH BAKERSFIELD,Kern,2024-01-01,2024-03-31,Open,Comparable,N/A,254,188,65272.0,439043243.0,16784.0,384661934.0,672274224.0,0.0,151430953.0,148572767.0,0.0,0.0,0.0,11.086333753496243,19.900108471882838,9.728240909414135,19.767875415595313,20.331953728470655,15.46989946485397,20.331953728470655,15.46989946485397,18.83564032985356,18.816585416388357,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,254,181,67802.0,469217359.0,16093.0,489005036.0,779528582.0,0.0,178693813.0,177232720.0,0.0,0.0,0.0,11.124361720737193,19.966576673206628,9.686201810706079,20.00788334799959,20.530669603985032,14.470255730140709,20.530669603985032,14.470255730140709,19.00118436285449,18.992974234844688,0.0,0.0,0.0
ADVENTIST HEALTH CLEARLAKE,Lake,2024-01-01,2024-03-31,Open,Comparable,Rural,25,17,100869.0,29164778.0,1524.0,108915875.0,92297200.0,1554251.0,47337704.0,46544024.0,0.0,0.0,0.0,11.52158783804888,17.188472340565305,7.329749689041512,18.506086362401536,18.381857386242952,15.730097208617291,18.381857386242952,15.730097208617291,17.67281768178751,17.655909196843137,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,Rural,25,16,99747.0,27225434.0,1394.0,112049114.0,95765563.0,1963830.0,45472815.0,47132773.0,0.0,0.0,0.0,11.51040228442579,17.119662204617086,7.240649694255466,18.534447859920313,18.76463861460348,15.173529408072088,18.76463861460348,15.173529408072088,17.63262525482703,17.668479155644377,0.0,0.0,0.0
ADVENTIST HEALTH DELANO,Kern,2024-01-01,2024-03-31,Open,Comparable,N/A,156,67,19604.0,32757920.0,5709.0,30441613.0,39825446.0,61.0,23374148.0,27911299.0,0.0,0.0,0.0,9.883539914726432,17.304655353396914,8.649974302650056,17.231321111891152,17.593323243205873,15.469911128526801,17.593323243205873,15.469911128526801,16.967141226059184,17.14454218271512,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,156,66,20847.0,31977375.0,5684.0,32920907.0,38802620.0,6.0,26095668.0,27445289.0,0.0,0.0,0.0,9.945013299364627,17.280539210721642,8.645586406184636,17.309618515409777,18.24738605809032,14.470258847582537,18.24738605809032,14.470258847582537,17.077279919826253,17.12770512649802,0.0,0.0,0.0
ADVENTIST HEALTH GLENDALE,Los Angeles,2024-01-01,2024-03-31,Open,Comparable,N/A,462,305,47706.0,668744038.0,27363.0,333101840.0,852087937.0,0.0,149757941.0,164344247.0,0.0,0.0,0.0,10.772833416633738,20.320911942489904,10.21698355988089,19.623958830017443,20.5677608381097,15.46989946485397,20.5677608381097,15.46989946485397,18.824530828611955,18.917473858983186,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,462,275,51628.0,558813864.0,24681.0,373292831.0,793937644.0,0.0,138169051.0,159895295.0,0.0,0.0,0.0,10.851838809101965,20.141326997136616,10.11382951201313,19.737873741986018,20.547988215685976,14.470255730140709,20.547988215685976,14.470255730140709,18.743988507896194,18.890029758984962,0.0,0.0,0.0
ADVENTIST HEALTH HANFORD,Kings,2024-01-01,2024-03-31,Open,Comparable,Rural,235,113,63507.0,146243018.0,10283.0,299828156.0,348834684.0,8483976.0,105720466.0,103971847.0,0.0,0.0,0.0,11.058921161197402,18.800780309603635,9.23834456838578,19.51872005850215,19.681212159772784,16.433917485309394,19.681212159772784,16.433917485309394,18.4763090650194,18.459630728154178,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,Rural,235,112,67403.0,144167244.0,9950.0,318259163.0,360177843.0,8615650.0,110864214.0,102114201.0,0.0,0.0,0.0,11.118459642320433,18.786484607220746,9.205428327615163,19.578376589959728,19.82054314402202,16.170716753418432,19.82054314402202,16.170716753418432,18.52381672216045,18.44160237238416,0.0,0.0,0.0
ADVENTIST HEALTH HOWARD MEMORIAL,Mendocino,2024-01-01,2024-03-31,Open,Comparable,Rural,25,15,18417.0,27613943.0,1317.0,61047150.0,66367621.0,507113.0,22800585.0,23961964.0,0.0,0.0,0.0,9.821083726281312,17.133831420499344,7.183870715062453,17.927157090765398,18.06774853011026,15.562446286355248,18.06774853011026,15.562446286355248,16.94229679534877,16.991978339534892,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,Rural,25,15,18294.0,27319515.0,1351.0,66091073.0,71359580.0,3045180.0,25096188.0,23467480.0,0.0,0.0,0.0,9.814383077453307,17.12311187655093,7.20934025660291,18.006544257882005,18.574653733707965,15.418896594684583,18.574653733707965,15.418896594684583,17.038226559904942,16.971126233562618,0.0,0.0,0.0
ADVENTIST HEALTH LODI MEMORIAL,San Joaquin,2024-01-01,2024-03-31,Open,Comparable,N/A,194,104,50778.0,286030760.0,9286.0,301277703.0,513764360.0,70513.0,73614616.0,79411923.0,0.0,0.0,0.0,10.835238162272326,19.471609918944456,9.13637085177601,19.523543002026233,20.064827709211986,15.483292092712308,20.064827709211986,15.483292092712308,18.114354164524105,18.190159091264448,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,N/A,194,92,49987.0,267927005.0,8292.0,298195729.0,495996453.0,62104.0,70188385.0,74504947.0,0.0,0.0,0.0,10.819538255605675,19.406225135705224,9.023167064451204,19.513260640943564,20.109452456228826,14.502013715805415,20.109452456228826,14.502013715805415,18.066693413713626,18.12637609725172,0.0,0.0,0.0
ADVENTIST HEALTH MENDOCINO COAST,Mendocino,2024-01-01,2024-03-31,Open,Comparable,Rural,25,15,23531.0,10116179.0,1229.0,37524673.0,30668576.0,128612.0,17100888.0,23322658.0,0.0,0.0,0.0,10.066116475984346,16.129646680207994,7.114769448366463,17.440509247904423,17.358306947186765,15.494193710037806,17.358306947186765,15.494193710037806,16.654641008425635,16.964935935244974,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,Rural,25,15,23212.0,9727325.0,1324.0,39010061.0,26545035.0,130194.0,22322545.0,21682037.0,0.0,0.0,0.0,10.052467745547446,16.090449596248327,7.1891677384203225,17.479330170817644,18.08983216687422,14.535711463931642,18.08983216687422,14.535711463931642,16.921107757072473,16.891994733807685,0.0,0.0,0.0
ADVENTIST HEALTH REEDLEY,Fresno,2024-01-01,2024-03-31,Open,Comparable,Rural,49,17,148773.0,13580515.0,1471.0,105491499.0,65319124.0,755806.0,54508696.0,51371800.0,0.0,0.0,0.0,11.91018365493106,16.424146676427448,7.294377299288821,18.474140938914182,18.052713495545103,15.604882011484454,18.052713495545103,15.604882011484454,17.813870824883914,17.75459996120206,0.0,0.0,0.0,2024-04-01,2024-06-30,Open,Comparable,Rural,49,16,153722.0,13551341.0,1447.0,110351166.0,69129031.0,778062.0,55551538.0,52630665.0,0.0,0.0,0.0,11.942907560491468,16.421996140976194,7.277938572945661,18.519178266052876,18.55534614709384,14.809767011299405,18.55534614709384,14.809767011299405,17.83282177843662,17.77880951162953,0.0,0.0,0.0
