Faculty Name,County Name,Beginning Date Q1,Ending Date Q1,Type of Hospital,Teaching/Rural Hospital,Available Beds Q1,Staff Beds Q1,Total Outpatient Visits Q1,Total Gross Inpatient Revenue Q1,Total Patient (Census) Days,Total Gross Outpatient Revenue Q1,Total Deductions from Revenue Q1,Total Capitation Premium Revenue Q1,Total Net Patient Revenue Q1,Total Operating Expenses Q1,Expenses (Inpatient) Q1,Expenses (Outpatient) Q1,PPC Expenses Q1,Log Total Outpatient Visits Q1,Log Total Gross Inpatient Revenue Q1,Log Total Patient (Census) Days Q1,Log Total Gross Outpatient Revenue Q1,Log Total Deductions from Revenue Q1,Log Total Capitation Premium Revenue Q1,Log Total Deductions from Revenue Q1,Log Total Net Patient Revenue Q1,Log Total Operating Expenses Q1,Log Expenses (Inpatient) Q1,Log Expenses (Outpatient) Q1,Log PPC Expenses Q1,Beginning Date Q2,Ending Date Q2,Available Beds Q2,Staff Beds Q2,Total Outpatient Visits Q2,Total Gross Inpatient Revenue Q2,Total Patient (Census) Days Q2,Total Gross Outpatient Revenue Q2,Total Deductions from Revenue Q2,Total Capitation Premium Revenue Q2,Total Net Patient Revenue Q2,Total Operating Expenses Q2,Inpatient Expenses Q2,Outpatient Expenses Q2,PCC Expenses Q2,Log Total Outpatient Visits Q2,Log Total Gross Inpatient Revenue Q2,Log Total Patient (Census) Days Q2,Log Total Gross Outpatient Revenue Q2,Log Total Deductions from Revenue Q2,Log Total Capitation Premium Revenue Q2,Log Total Deductions from Revenue Q2,Log Total Net Patient Revenue Q2,Log Total Operating Expenses Q2,Log Expenses (Inpatient) Q2,Log Expenses (Outpatient) Q2,Log PPC Expenses Q2
ADVENTIST HEALTH AND RIDEOUT,Yuba,1/1/2024,3/31/2024,Comparable,N/A,221,157,47730,321788524,14223,226530320,415227081,0,133091763,135540079,0,0,0,10.77333636,19.58940513,9.562685958,19.23838936,19.85367247,15.46989946,19.85367247,18.7065494,18.72477795,0,0,0,4/1/2024,6/30/2024,221,147,48832,292107536,13320,242107762,418473905,0,115741393,132982900,0,0,0,10.79616159,19.49263257,9.497097016,19.30489349,19.9548783,14.47025573,19.9548783,18.5668689,18.70573111,0,0,0
ADVENTIST HEALTH BAKERSFIELD,Kern,1/1/2024,3/31/2024,Comparable,N/A,254,188,65272,439043243,16784,384661934,672274224,0,151430953,148572767,0,0,0,11.08633375,19.90010847,9.728240909,19.76787542,20.33195373,15.46989946,20.33195373,18.83564033,18.81658542,0,0,0,4/1/2024,6/30/2024,254,181,67802,469217359,16093,489005036,779528582,0,178693813,177232720,0,0,0,11.12436172,19.96657667,9.686201811,20.00788335,20.5306696,14.47025573,20.5306696,19.00118436,18.99297423,0,0,0
ADVENTIST HEALTH CLEARLAKE,Lake,1/1/2024,3/31/2024,Comparable,Rural,25,17,100869,29164778,1524,108915875,92297200,1554251,47337704,46544024,0,0,0,11.52158784,17.18847234,7.329749689,18.50608636,18.38185739,15.73009721,18.38185739,17.67281768,17.6559092,0,0,0,4/1/2024,6/30/2024,25,16,99747,27225434,1394,112049114,95765563,1963830,45472815,47132773,0,0,0,11.51040228,17.1196622,7.240649694,18.53444786,18.76463861,15.17352941,18.76463861,17.63262525,17.66847916,0,0,0
ADVENTIST HEALTH DELANO,Kern,1/1/2024,3/31/2024,Comparable,N/A,156,67,19604,32757920,5709,30441613,39825446,61,23374148,27911299,0,0,0,9.883539915,17.30465535,8.649974303,17.23132111,17.59332324,15.46991113,17.59332324,16.96714123,17.14454218,0,0,0,4/1/2024,6/30/2024,156,66,20847,31977375,5684,32920907,38802620,6,26095668,27445289,0,0,0,9.945013299,17.28053921,8.645586406,17.30961852,18.24738606,14.47025885,18.24738606,17.07727992,17.12770513,0,0,0
ADVENTIST HEALTH GLENDALE,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,462,305,47706,668744038,27363,333101840,852087937,0,149757941,164344247,0,0,0,10.77283342,20.32091194,10.21698356,19.62395883,20.56776084,15.46989946,20.56776084,18.82453083,18.91747386,0,0,0,4/1/2024,6/30/2024,462,275,51628,558813864,24681,373292831,793937644,0,138169051,159895295,0,0,0,10.85183881,20.141327,10.11382951,19.73787374,20.54798822,14.47025573,20.54798822,18.74398851,18.89002976,0,0,0
ADVENTIST HEALTH HANFORD,Kings,1/1/2024,3/31/2024,Comparable,Rural,235,113,63507,146243018,10283,299828156,348834684,8483976,105720466,103971847,0,0,0,11.05892116,18.80078031,9.238344568,19.51872006,19.68121216,16.43391749,19.68121216,18.47630907,18.45963073,0,0,0,4/1/2024,6/30/2024,235,112,67403,144167244,9950,318259163,360177843,8615650,110864214,102114201,0,0,0,11.11845964,18.78648461,9.205428328,19.57837659,19.82054314,16.17071675,19.82054314,18.52381672,18.44160237,0,0,0
ADVENTIST HEALTH HOWARD MEMORIAL,Mendocino,1/1/2024,3/31/2024,Comparable,Rural,25,15,18417,27613943,1317,61047150,66367621,507113,22800585,23961964,0,0,0,9.821083726,17.13383142,7.183870715,17.92715709,18.06774853,15.56244629,18.06774853,16.9422968,16.99197834,0,0,0,4/1/2024,6/30/2024,25,15,18294,27319515,1351,66091073,71359580,3045180,25096188,23467480,0,0,0,9.814383077,17.12311188,7.209340257,18.00654426,18.57465373,15.41889659,18.57465373,17.03822656,16.97112623,0,0,0
ADVENTIST HEALTH LODI MEMORIAL,San Joaquin,1/1/2024,3/31/2024,Comparable,N/A,194,104,50778,286030760,9286,301277703,513764360,70513,73614616,79411923,0,0,0,10.83523816,19.47160992,9.136370852,19.523543,20.06482771,15.48329209,20.06482771,18.11435416,18.19015909,0,0,0,4/1/2024,6/30/2024,194,92,49987,267927005,8292,298195729,495996453,62104,70188385,74504947,0,0,0,10.81953826,19.40622514,9.023167064,19.51326064,20.10945246,14.50201372,20.10945246,18.06669341,18.1263761,0,0,0
ADVENTIST HEALTH MENDOCINO COAST,Mendocino,1/1/2024,3/31/2024,Comparable,Rural,25,15,23531,10116179,1229,37524673,30668576,128612,17100888,23322658,0,0,0,10.06611648,16.12964668,7.114769448,17.44050925,17.35830695,15.49419371,17.35830695,16.65464101,16.96493594,0,0,0,4/1/2024,6/30/2024,25,15,23212,9727325,1324,39010061,26545035,130194,22322545,21682037,0,0,0,10.05246775,16.0904496,7.189167738,17.47933017,18.08983217,14.53571146,18.08983217,16.92110776,16.89199473,0,0,0
ADVENTIST HEALTH REEDLEY,Fresno,1/1/2024,3/31/2024,Comparable,Rural,49,17,148773,13580515,1471,105491499,65319124,755806,54508696,51371800,0,0,0,11.91018365,16.42414668,7.294377299,18.47414094,18.0527135,15.60488201,18.0527135,17.81387082,17.75459996,0,0,0,4/1/2024,6/30/2024,49,16,153722,13551341,1447,110351166,69129031,778062,55551538,52630665,0,0,0,11.94290756,16.42199614,7.277938573,18.51917827,18.55534615,14.80976701,18.55534615,17.83282178,17.77880951,0,0,0
