_id,FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,DEP_AMORT_EXP_OPS,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,DISP_TRNFR,CASH,MARKETABLE_SEC,OTH_CURR_ASSETS,TOT_CURR_ASSETS,LIMITED_USE_CASH,LIMITED_USE_INV,LIMITED_USE_OTHER_ASSETS,TOT_LIMITED_USE_ASSETS,TOT_PPE,ACCU_DEP_AMORT,NET_TOT_PPE,CONST_IN_PROGRESS,TOT_INV_AND_OTH_ASSETS,TOT_INTANGIBLE_ASSETS,TOT_ASSETS,CAP_EXP,CURR_LIABILITIES,CURR_MAT_LT_DEBT,TOT_CURR_LIABILITIES,TOT_DEF_CREDITS,TOT_LT_DEBT,CURR_MATURITIES,NET_TOT_LT_DEBT,TOT_LIABILITIES,TOT_EQUITY,TOT_LIABILITY_AND EQUITY
1,106580996,ADVENTIST HEALTH AND RIDEOUT,20242,04/01/2024,06/30/2024,Open,Yuba,02 - Golden Empire,227,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,221,221,147,1027,302,358,676,0,0,0,430,2,140,2935,0,5729,1515,1017,3344,0,0,0,1493,2,220,13320,0,15431,3363,1803,14723,0,0,1452,8721,20,3319,48832,122214450,33093235,12984030,69303561,0,0,0,44848377,87400,9576483,292107536,82371924,21023947,5269196,74531150,0,0,2498401,49345222,200756,6867166,242107762,4785403,170255308,45853358,17413341,113888523,0,0,0,452007,56951630,0,2413288,0,0,0,6461047,418473905,0,0,0,0,0,33270954,6955701,28390,29999724,0,0,846897,38534268,0,6105459,115741393,5887631,132982900,3551891,0,470314,0,0,0,0,0,18869,0,151457681,151476550,0,0,0,0,580155273,288016212,292139061,2920572,3703790,3420921,453660894,6913307,237564446,4219000,241783446,972011,239828341,4219000,235609341,478364798,-24703904,453660894
2,106150788,ADVENTIST HEALTH BAKERSFIELD,20242,04/01/2024,06/30/2024,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,181,706,908,95,1004,0,0,226,962,0,19,3920,0,3491,3689,467,4068,0,0,1136,3181,0,61,16093,0,15181,6455,696,15772,0,0,3987,23847,5,1859,67802,108378554,117561474,10407706,112754246,0,0,29697238,85940974,0,4477167,469217359,100227715,91562079,3711318,107376254,0,0,38259574,140742864,32025,7093207,489005036,2638587,173357629,178266809,14363314,182447610,0,0,0,53788801,165023804,0,847491,0,0,0,8794537,779528582,0,0,0,0,0,35134251,29364739,-378538,37168553,0,0,13362782,58345393,0,5696633,178693813,2707231,177232720,6163315,0,2105464,0,0,0,0,0,92642610,0,287024064,379666674,0,0,9762976,9762976,425623234,235307486,190315748,7845109,8918317,287182,596796006,25409099,257069261,2708761,259778022,0,159862263,2708761,157153502,416931524,179864482,596796006
3,106171049,ADVENTIST HEALTH CLEARLAKE,20242,04/01/2024,06/30/2024,Open,Lake,01 - Northern California,115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVE,CLEARLAKE,95422,DAVID SANTOS,25,25,16,139,60,10,127,0,0,14,31,0,3,384,0,566,291,35,392,0,0,47,41,0,22,1394,0,30276,7433,8087,32946,0,0,3190,16107,5,1703,99747,11059578,5236822,214664,7976115,0,0,1029521,1207652,0,501082,27225434,32956084,11721537,3910901,40037264,0,0,4405433,15969014,16000,3032881,112049114,2381747,27918795,10879983,2091127,36912203,-79349,0,0,3478747,9578630,0,959904,0,0,0,1643776,95765563,0,1963830,0,0,1963830,14900284,5754166,2045997,13067114,0,0,1820101,6683909,0,1201244,45472815,1219480,47132773,834011,0,738818,0,0,0,0,0,45175851,0,35584022,80759873,0,0,0,0,97987834,58873128,39114706,9850893,0,96927,129822399,487048,10649609,916000,11565609,1666797,75362260,916000,74446260,87678666,42143733,129822399
4,106150706,ADVENTIST HEALTH DELANO,20242,04/01/2024,06/30/2024,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-725-4800,1401 GARCES HIGHWAY,DELANO,93215,DAVID BUTLER,156,156,66,143,30,49,322,0,0,31,47,0,3,625,16,1375,213,345,3459,0,0,161,126,0,5,5684,4334,2146,972,863,12556,0,0,992,2764,0,554,20847,8271202,1426377,2089679,17786405,0,0,1042412,1173036,0,188264,31977375,3650524,2285056,1108267,17953039,0,0,2865921,3845755,0,1212345,32920907,303626,7956417,2637932,187767,23687302,-625701,0,0,999231,2831243,0,218237,0,0,0,606566,38802620,0,6,0,0,6,3860051,1029576,3013455,12398430,0,0,2798719,2081502,0,913935,26095668,1928866,27445289,1131239,0,1670525,0,0,0,0,0,109090778,0,46312452,155403230,0,0,0,0,140700313,98807638,41892675,277608,0,800,197574313,386552,14798154,0,14798154,0,42516400,0,42516400,57314554,140259759,197574313
5,106190323,ADVENTIST HEALTH GLENDALE,20242,04/01/2024,06/30/2024,Open,Los Angeles,11 - Los Angeles,909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,275,1902,601,340,861,0,0,50,831,1,38,4624,0,10566,2866,4299,3102,0,0,312,3398,6,132,24681,0,16687,3767,1212,8866,0,0,1515,18997,27,557,51628,247053820,84345708,34633190,103670982,0,0,18669594,56237637,46620,14156313,558813864,110440473,40355588,5077611,114756950,0,0,5471110,88282400,36192,8872507,373292831,6989959,300457031,106833882,42251323,184318780,0,0,0,19335533,113798667,0,2471877,0,0,0,17480592,793937644,0,0,0,0,0,54205187,15753212,-5376615,33502221,0,0,3604249,26199548,0,10281249,138169051,13173898,159895295,3646924,0,508132,0,0,0,0,0,0,592010,142441249,143033259,0,0,22049282,22049282,513211929,369009009,144202920,11635820,1124254,5639814,327685349,1134157,170669599,3932000,174601599,0,233635698,3932000,229703698,404305297,-76619948,327685349
6,106164029,ADVENTIST HEALTH HANFORD,20242,04/01/2024,06/30/2024,Open,Kings,09 - Central,615,Church,Comparable,Rural,559-537-0056,115 MALL DRIVE,HANFORD,93230,TIM HAYDOCK,235,235,112,539,308,124,808,0,0,166,411,2,102,2460,0,2721,1616,497,2765,0,0,510,1388,13,440,9950,0,10039,4605,2768,29098,0,0,3808,15108,14,1963,67403,40399343,23836750,3984410,43363452,0,0,7217495,20765035,107862,4492897,144167244,46479827,30882442,7709910,139388633,0,0,18146891,62948638,92325,12610497,318259163,804072,66094540,46678160,9103817,151009890,-1328987,0,0,18210526,52036830,0,1615899,0,0,0,15953096,360177843,0,8615650,0,0,8615650,20670728,7628765,2615761,40557963,0,0,6080506,30709496,0,2600995,110864214,4958060,102114201,3925030,0,7188758,0,0,0,0,0,461481608,0,164522652,626004260,0,0,0,0,426627796,251538942,175088854,868585,19963322,1380000,823305021,6916925,54752523,3685000,58437523,4920890,250745411,3685000,247060411,310418824,512886197,823305021
7,106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20242,04/01/2024,06/30/2024,Open,Mendocino,01 - Northern California,112,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,15,153,35,34,75,0,0,15,27,1,5,345,0,592,124,126,286,0,0,97,95,3,28,1351,0,7001,1557,255,4793,0,0,1791,2592,8,297,18294,14067364,2872021,796345,5263404,0,0,1358690,2539451,50000,372240,27319515,26596808,5505719,818581,17506276,0,0,2496557,11294491,40000,1832641,66091073,174274,31363163,6316972,1819387,19164321,0,0,0,1653196,9062734,0,624046,0,0,0,1181487,71359580,0,3045180,0,0,3045180,8785348,1917720,-90818,6316182,0,0,2315017,4924031,0,928708,25096188,407169,23467480,892220,0,835454,0,0,0,0,0,59594071,0,30839810,90433881,0,0,0,0,95719929,49526167,46193762,70404,0,0,136698047,28857,17933767,906000,18839767,410684,34271696,906000,33365696,52616147,84081900,136698047
8,106390923,ADVENTIST HEALTH LODI MEMORIAL,20242,04/01/2024,06/30/2024,Open,San Joaquin,06 - North San Joaquin,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240-5179,DANIEL WOLCOTT,194,194,92,558,349,94,516,0,0,50,317,3,23,1910,0,2680,1941,436,1944,0,0,207,943,8,133,8292,0,8878,4628,1788,20197,0,0,1050,10198,4,3244,49987,89920054,66006879,10180456,61760451,0,0,5278356,31558102,200000,3022707,267927005,67662673,43947818,7249911,96615699,0,0,8655025,63670864,75109,10318630,298195729,3437794,143061131,102501909,15869838,142270100,0,0,0,10477889,66089438,0,1604985,0,0,0,10683369,495996453,0,62104,0,0,62104,14505933,6808966,1124553,15954594,0,0,2693032,26652469,0,2448838,70188385,14972315,74504947,2147594,0,541540,0,0,0,0,0,1496572,0,98206088,99702660,0,0,0,0,281020939,181695717,99325222,9018862,125957,0,208172701,3254,43479036,4005000,47484036,2386069,135598552,4005000,131593552,181463657,26709044,208172701
9,106231013,ADVENTIST HEALTH MENDOCINO COAST,20242,04/01/2024,06/30/2024,Open,Mendocino,01 - Northern California,111,Non Profit Corp.,Comparable,Rural,707-961-1234,700 RIVER DRIVE,FORT BRAGG,95437,WAYNE ALLEN,25,25,15,121,33,3,37,0,0,15,8,1,6,224,0,718,198,14,220,0,0,89,43,2,40,1324,0,11805,1819,165,4245,0,0,2220,2678,20,260,23212,5397968,1023115,170606,1610250,0,0,678414,494688,14500,337784,9727325,17170925,4093076,489279,8695959,0,0,1528222,6413607,67000,551993,39010061,3827738,6557269,2558890,384389,6096801,0,0,0,1262321,4730922,0,856778,0,0,0,269927,26545035,0,130194,0,0,130194,14721740,1226040,323886,2854684,0,0,1022118,2158022,0,16055,22322545,329668,21682037,693780,0,237905,0,0,0,0,0,52629,0,38878013,38930642,0,0,0,0,10418969,2323616,8095353,159300,0,0,47185295,84000,10171637,0,10171637,5333881,51548390,0,51548390,67053908,-19868613,47185295
10,106100797,ADVENTIST HEALTH REEDLEY,20242,04/01/2024,06/30/2024,Open,Fresno,09 - Central,607,Non Profit Corp.,Comparable,Rural,559-537-0056,372 WEST CYPRESS AVENUE,REEDLEY,93654,TIM HAYDOCK,49,49,16,43,16,30,253,0,0,10,51,0,10,413,0,313,100,81,748,0,0,40,110,0,55,1447,0,16084,9112,11367,87306,0,0,1121,24800,2010,1922,153722,2061065,709356,591940,8413427,0,0,140585,1253144,0,381824,13551341,11490572,7578560,4603251,65469396,0,0,1201652,15575265,550500,3881970,110351166,142028,5148733,6099274,2873279,41064400,-509000,0,0,258469,8981708,0,683750,0,0,0,4386390,69129031,0,778062,0,0,778062,8292051,2002456,2243393,33973750,0,0,860100,7646908,0,532880,55551538,1713727,52630665,843549,0,2363391,0,0,0,0,0,160182550,0,55842275,216024825,0,0,0,0,97652492,35862173,61790319,16520555,0,9711063,304046762,1686023,20840095,0,20840095,2985007,79290107,0,79290107,103115209,200931553,304046762
