VIS_TOT,DAY_TOT,AVL_BEDS,STF_BEDS,predictions
0,7733,109,109,16.7077458
0,3687,128,128,16.34228929
4783,7677,115,115,18.11517546
29156,14718,210,178,18.51767417
60841,28607,352,318,19.6255058
9290,1770,73,20,17.11590421
37702,14887,215,175,18.71525206
153722,1447,49,16,17.27371284
13959,2200,30,26,16.05513721
93238,34248,654,377,18.83014037
42639,11184,155,145,19.55539885
45,1926,49,49,15.7061831
6659,5769,123,123,18.0913094
0,22095,249,243,15.98657161
301238,61502,890,890,20.76297939
10380,7219,100,80,15.56399224
0,4116,63,63,15.79072192
0,0,16,16,13.22347126
55270,30989,455,386,19.17638324
3677,3970,138,138,17.26778631
11544,17982,247,247,15.8066407
0,8206,144,91,16.34228929
0,1302,16,15,14.07487108
0,1448,16,16,13.32878062
0,0,0,0,0
1161,222,14,4,14.66675363
50012,13247,257,146,18.34613942
1386,2902,37,37,15.49923965
76444,20412,232,232,19.15563424
0,7792,183,165,17.12930605
0,1182,16,16,14.03024606
1071,2264,63,41,15.7061831
746,6742,173,173,17.12930605
16582,16827,257,257,17.76266827
58027,21126,281,281,19.43130489
20660,3005,51,39,17.12166157
8697,1829,33,33,16.68393216
298,1649,87,19,17.43914391
1077,1922,30,30,14.87744365
8281,1731,38,27,16.58936173
64466,28526,399,317,19.6255058
29193,17188,313,207,18.90623372
4550,8229,97,96,16.31624667
43140,11060,386,149,18.73593953
0,6352,90,90,16.52389204
3253,4794,127,61,17.0356235
15815,4347,114,52,17.48330007
8398,11727,291,174,17.60758097
3462,13227,166,166,16.71622047
21575,1783,25,22,17.03822656
38019,7086,150,78,17.79002227
49696,31717,512,366,20.06540752
6553,1890,59,23,17.11788769
6394,3897,101,43,17.11590421
67403,9950,235,112,18.54540086
53949,24792,402,273,19.69457805
329,8409,93,93,16.20035099
15788,6582,193,86,17.68364587
140237,11336,147,147,19.55539885
41639,11159,211,127,18.95840626
85176,10743,225,119,18.54540086
38170,25614,373,309,19.27116232
14895,10718,309,309,17.23582481
12720,4928,151,58,17.66216197
25643,21638,345,345,18.69008068
33789,17729,385,214,18.79223029
36613,20088,404,243,18.95379263
1734,6291,147,70,17.0356235
22451,15135,307,182,17.99824369
64127,5699,100,63,18.79222263
43558,6244,99,99,18.15369699
2113,5231,148,75,17.0356235
11996,11305,140,140,17.66216197
99747,1394,25,16,17.27371284
25938,7831,150,96,17.51869648
41833,6188,141,82,17.79002227
3875,848,17,17,16.50379224
9325,15577,478,478,16.96976811
23788,20679,394,249,18.96727983
0,1420,16,16,14.8543732
3823,5215,178,178,16.71622047
4241,3230,94,94,16.61656143
61825,19984,363,363,19.41462614
86439,10132,265,112,18.54540086
13794,3929,145,50,17.48330007
0,856,16,16,14.04470616
8794,3366,171,40,17.20315873
79090,22832,350,251,19.09582432
